UG_COD,UG_DESC,UF
158138,INST.FED.DE EDUC.,PB
158139,INST.FED.DE EDUC.,RJ
158141,INST.FED.DE EDUC.,RS
158142,INST.FED.DE EDUC.,AM
158143,IFB - REITORIA - BRASÍLIA-DF,DF
158144,INST.FED.DE EDUC.,MT
158145,INST.FED.DE EDUC.,BA
158146,INST.FED.DE EDUC.,PI
158147,INST.FED.DE EDUC.,AL
158148,INST.FED.DE EDUC.,RO
158149,INST.FED.DE ED.,PE
158150,INST.FED.DE EDUC.,AP
158151,INST.FED.DE EDUC.,ES
158152,INST.FED.DE EDUC.,RR
158153,INST.FED.DE EDUC.,GO
158154,INST.FED.DE EDUC.,SP
158155,INST.FED.DE EDUC.,RN
158156,INST.FED.DE EDUC.,AC
158157,INST.FED.DE EDUC.,RJ
158159,INST.FED. DO AMAPA -CAMPUS MACAPA,AP
158261,INST.FED.DO RS/CAMPUS PORTO ALEGRE,RS
158262,INST.FED.DO RS/CAMPUS RIO GRANDE,RS
158263,INST.FED.DO RS/CAMPUS SERTÃO,RS
158264,INST.FED.DO RS/CAMPUS BENTO GONCALVES,RS
158265,INST.FED.DO RS/CAMPUS CANOAS,RS
158272,INST.FED. ESPIRITO SANTO/CAMPUS COLATINA,ES
158273,INST.FED.DO AMAZONAS/CAMPUS S.G. DA CACHOEIRA,AM
158275,INST.FED.MINAS GERAIS/CAMPUS BAMBUÍ,MG
158276,INST.FED.DO MARANHAO/CAMPUS SAO LUIS-MACARANA,MA
158279,INST.FED.DA PARAIBA/CAMPUS SOUSA,PA
158280,INST.FED.DA PARAIBA/CAMPUS CAJAZEIRAS,PA
158281,INST.FED.DA PARAIBA/CAMPUS CAMPINA GRANDE,PA
158282,INST.FED.DO MARANHAO/CAMPUS PINHEIRO,MA
158283,INST.FED.DO MARANHAO/CAMPUS BURITICUPU,MA
158284,INST.FED.DO MARANHAO/CAMPUS BARRA DO CORDA,MA
158285,INST.FED.DO MARANHAO/CAMPUS BARREIRINHAS,MA
158286,INST.FED.DO MARANHAO/CAMPUS MONTE CASTELO,MA
158288,INST.FED.DO MARANHAO/CAMPUS CENTRO HISTORICO,MA
158289,INST.FED.DO MARANHAO/CAMPUS ZE DOCA,MA
158290,INST.FED.DO MARANHAO/CAMPUS SANTA INES,MA
158291,INST.FED.DO MARANHAO/CAMPUS S.JOAO DOS PATOS,MA
158292,INST.FED.DO MARANHAO/CAMPUS ALCANTARA,MA
158293,INST.FED.DO MARANHAO/CAMPUS CODO,MA
158294,INST.FED.DO MARANHAO/CAMPUS IMPERATRIZ,MA
158295,INST.FED.DO MARANHAO/CAMPUS ACAILANDIA,MA
158296,INST.FED.DO MARANHAO/CAMPUS S.R.MANGABEIRAS,MA
158297,INST.FED.DO MARANHAO/CAMPUS BACABAL,MA
158309,INST.FED.TRIANGULO MINEIRO/CAMPUS PARACATU,PA
158313,INST.FED.DO CEARA/CAMPUS FORTALEZA,CE
158314,INST.FED.DO CEARA/CAMPUS LIMOEIRO DO NORTE,CE
158315,INST.FED.DO CEARA/CAMPUS QUIXADA,CE
158316,INST.FED.DO CEARA/CAMPUS JUAZEIRO DO NORTE,CE
158317,INST.FED.DO CEARA/CAMPUS SOBRAL,CE
158318,INST.FED.DO CEARA/CAMPUS CEDRO,CE
158319,INST.FED.DO CEARA/CAMPUS MARACANAU,CE
158320,INST.FED.DO CEARA/CAMPUS IGUATU,CE
158321,INST.FED.DO CEARA/CAMPUS CRATO,CE
158322,INST.FED.DO CEARA/CAMPUS ACARAU,CE
158323,INST.FED.DO CEARA/CAMPUS CANINDÉ,CE
158324,INST.FED.DO CEARA/CAMPUS CRATEUS,CE
158325,INST.FED.DO RS/CAMPUS ERECHIM,RS
158326,INST.FED.DO RS/CAMPUS PORTO ALEGRE - RESTINGA,RS
158327,INST.FED.DO RS/CAMPUS OSORIO,RS
158328,INST.FED.DO RS/CAMPUS CAXIAS DO SUL,RS
158333,INST.FED.MATO GROSSO/CAMPUS CUIABÁ,MT
158334,INST.FED.MATO GROSSO/CAMPUS CACERES,MT
158335,INST.FED.MATO GROSSO/CAMPUS SÃO VICENTE,MT
158336,INST.FED.DO TOCANTINS/CAMPUS PALMAS,TO
158337,INST.FED.DO TOCANTINS/CAMPUS ARAGUATINS,TO
158341,INST.FED.RONDONIA/CAMPUS COLORADO DO OESTE-RO,RO
158342,INST.FED.RONDONIA/CAMPUS DE VILHENA - RO,RO
158343,INST.FED.RONDONIA/CAMPUS ARIQUEMES-RO,RO
158345,INST.FED.RONDONIA/CAMPUS PORTO VELHO CALAMA,RO
158346,IFSP - CAMPUS SÃO JOÃO DA BOA VISTA,NO
158350,INST.FED.RORAIMA - CAMPUS BOA VISTA,RR
158351,INST.FED.RORAIMA - CAMPUS NOVO PARAISO,PA
158353,INST.FED.PIAUI/CAMPUS TERESINA CENTRAL,PI
158355,INST.FED. PIAUI/CAMPUS FLORIANO,PI
158356,INST.FED.PIAUI/CAMPUS PICOS,PI
158357,INST.FED.PIAUI/CAMPUS PARNAIBA,PI
158358,INST.FED.PIAUI/CAMPUS ANGICAL,PI
158359,INST.FED.PIAUI/CAMPUS PAULISTANA,PI
158360,INST.FED.PIAUI/CAMPUS PIRIPIRI,PI
158361,INST.FED.PIAUI/CAMPUS SAO RAIMUNDO NONATO,PI
158362,INST.FED.PIAUI/CAMPUS CORRENTE,PI
158363,INST.FED.PIAUI/CAMPUS URUCUI,PI
158365,INST.FED DO RN/CAMPUS MOSSORO,RN
158366,INST.FED. DO RN/CAMPUS CURRAIS NOVOS,RN
158367,INST.FED. DO RN/CAMPUS IPANGUAÇU,RN
158368,INST.FED.DO RN/CAMPUS NATAL - ZONA NORTE,RN
158369,INST.FED.DO RN/CAMPUS NATAL - CENTRAL,RN
158370,INST.FED. DO RN/CAMPUS CAICÓ,RN
158371,INST.FED.DO RN/CAMPUS APODI,RN
158372,INST.FED.DO RN/CAMPUS SANTA CRUZ,RN
158373,INST.FED.DO RN/CAMPUS JOAO CAMARA,RN
158374,INST.FED.DO RN/CAMPUS PAU DOS FERROS,RN
158375,INST.FED.DO RN/CAMPUS MACAU,RN
158376,INST.FED.RONDONIA/CAMPUS JI-PARANA,PA
158377,INST.FED.DO NORTE DE MG/CAMPUS SALINAS,MG
158378,INST.FED.DO NORTE DE MG/CAMPUS JANUARIA,MG
158380,INST.FED.DE ALAGOAS/CAMPUS MARECHAL DEODORO,AL
158381,INST.FED DE ALAGOAS/CAMPUS MACEIO,AL
158382,INST.FED. ALAGOAS/CAMPUS SATUBA,AL
158383,INST.FED.DE ALAGOAS/CAMPUS PALMEIRA DOS IND.,AL
158392,INST. FED. DE SERGIPE/CAMPUS SÃO CRISTOVÃO,SE
158393,INST. FED. DE SERGIPE/CAMPUS ARACAJU,SE
158394,INST. FED. DE SERGIPE/CAMPUS LAGARTO,SE
158396,INST. FED. DO PARANÁ/CAMPUS FOZ DO IGUAÇU,PA
158397,INST. FED. DO PARANÁ/CAMPUS PARANAGUA,PA
158398,INST. FED. DO PARANÁ/CAMPUS PARANAVAI,PA
158403,INST. FED. DA BAHIA/CAMPUS CAMAÇARI,BA
158404,INST. FED. DA BAHIA/CAMPUS BARREIRAS,BA
158405,INST. FED. DA BAHIA/CAMPUS VALENÇA,BA
158406,INST. FED. DA BAHIA/CAMPUS SANTO AMARO,BA
158407,INST. FED.DA BAHIA/CAMPUS SIMOES FILHO,BA
158408,INST. FED. DA BAHIA/CAMPUS PORTO SEGURO,BA
158409,INST. FED. DA BAHIA/CAMPUS VIT. DA CONQUISTA,BA
158410,INST. FED. DA BAHIA/CAMPUS EUNAPOLIS,BA
158411,INST. FED. DA BAHIA/CAMPUS SALVADOR,BA
158412,INST FED SUDESTE DE MG/CAMPUS RIO POMBA,MG
158413,INST FED SUDESTE DE MG/CAMPUS BARBACENA,MG
158414,INST FED SUDESDE DE MG/CAMPUS JUIZ DE FORA,MG
158415,INST FED SUDESTE DE MG/CAMPUS MURIAE,MG
158416,INST.FED. ESPIRITO SANTO/CAMPUS VITORIA,ES
158417,INST.FED. ESPIRITO SANTO/CAMPUS SERRA,ES
158418,INST.FED. ESPIRITO SANTO/CAMPUS CACHOEIRO,ES
158419,INST.FED. ESPIRITO SANTO/CAMPUS ARACRUZ,ES
158420,INST.FED. ESPIRITO SANTO/CAMPUS LINHARES,ES
158421,INST.FED. ESPIRITO SANTO/CAMPUS CARIACICA,ES
158422,INST.FED. ESPIRITO SANTO/CAMPUS NOVA VENECIA,ES
158423,INST.FED. ESPIRITO SANTO/CAMPUS SÃO MATEUS,ES
158424,INST.FED. ESPIRITO SANTO/CAMPUS ITAPINA,ES
158425,INST.FED. ESPIRITO SANTO/CAMPUS ALEGRE,ES
158426,INST.FED. ESPIRITO SANTO/CAMPUS SANTA TERESA,ES
158427,INST.FED. ESPIRITO SANTO/CAMPUS VILA VELHA,ES
158428,INST.FED. ESPIRITO SANTO/CAMPUS IBATIBA,ES
158429,INST.FED. ESPIRITO SANTO/CAMPUS V.N. DO IMIGR,ES
158430,INST.FED.DE GOIAS/CAMPUS GOIANIA,GO
158431,INST.FED.DE GOIAS/CAMPUS JATAI,GO
158432,INST.FED.DE GOIAS/CAMPUS INHUMAS,GO
158434,T.FED.DE GOIAS/CAMPUS URUAÇU,GO
158437,INST.FED.DO NORTE DE MG/CAMPUS MONTES CLAROS,MG
158438,INST.FED.DO NORTE DE MG/CAMPUS ARINOS,MG
158439,INST.FED.DO NORTE DE MG/CAMPUS ALMENARA,MG
158440,INST.FED.DO NORTE DE MG/CAMPUS PIRAPORA,MG
158441,INST.FED DO NORTE DE MG/CAMPUS ARACUAI,MG
158444,INST.FED.DO AMAZONAS/CAMPUS MANAUS ZONA LESTE,AM
158445,INST.FED.DO AMAZONAS/CAMPUS MANAUS CENTRO,AM
158446,CAMPUS MANAUS DISTRITO INDUSTRIAL,AM
158448,INST.FED.DO MS/CAMPUS AQUIDAUANA,MS
158449,INST. FED. DO MS/CAMPUS CAMPO GRANDE,MS
158450,INST. FED. DO MS/CAMPUS CORUMBA,MS
158452,INST. FED. DO MS/CAMPUS NOVA ANDRADINA,MS
158453,INST. FED. DO MS/CAMPUS PONTA PORA,MS
158456,INST.FED.DO MARANHAO/CAMPUS CAXIAS,MA
158457,INST.FED.DO MARANHAO/CAMPUS TIMON,MA
158458,INST. FED. CATARINENSE/CAMPUS RIO DO SUL,RS
158463,INST.FED.DO PE/CAMPUS IPOJUCA,PE
158464,INST.FED. DO PE/CAMPUS RECIFE,PE
158465,INST.FED.DO PE/CAMPUS VITORIA DE ST. ANTAO,PE
158466,INST.FED. DO PE/CAMPUS BARREIROS,PE
158469,INST.FED.DA PARAIBA/CAMPUS JOAO PESSOA,PA
158470,INST.FED. DA PARAIBA/CAMPUS PATOS,PA
158471,INST.FED.DA PARAIBA/CAMPUS PRINCESA ISABEL,PA
158472,INST.FED. DA PARAIBA/CAMPUS DE MONTEIRO,PA
158473,INST.FED. DA PARAIBA/CAMPUS DE PICUI,PA
158474,INST.FED.DA PARAIBA/CAMPUS DE CABEDELO,PA
158475,INST.FED. MINAS GERAIS/CAMPUS OURO PRETO,MG
158476,INST.FED.MINAS GERAIS/CAMPUS S.J.EVANGELISTA,MG
158477,INST.FED.DO PE/CAMPUS PESQUEIRA,PE
158478,INST.FED DO PE/CAMPUS BELO JARDIM,PE
158481,INST.FED.DO PARA/CAMPUS TUCURUI,PA
158482,INST.FED.DO RJ/CAMPUS DUQUE DE CAXIAS,RJ
158483,1NST.FED.DO RJ/CAMPUS NILOPOLIS,RJ
158484,INST.FED.DO RJ/CAMPUS PARACAMBI,PA
158485,INST.FED.DO RJ/CAMPUS PINHEIRAL,RJ
158486,INST.FED.DO RJ/CAMPUS RJ - REALENGO,RJ
158487,INST.FED.DO RJ/CAMPUS SAO GONÇALO,RJ
158488,INST.FED.DO RJ/CAMPUS VOLTA REDONDA,RJ
158489,INST.FED.DO TOCANTINS/CAMPUS PARAISO DO TO,PA
158492,INST.FED.MATO GROSSO/CAMPUS CAMPO N. PARECIS,MT
158493,INST.FED.MATO GROSSO/CAMPUS JUINA,MT
158494,INST.FED.MATO GROSSO/CAMPUS BELA VISTA,MT
158495,INST.FED.MATO GROSSO/CAMPUS PONTES LACERDA,MT
158496,INST.FED.MATO GROSSO/CAMPUS CONFRESA,MT
158497,INST.FED.MATO GROSSO/CAMPUS BARRA DO GARÇAS,MT
158498,INST.FED.MATO GROSSO/CAMPUS RONDONOPOLIS,MT
158502,INST.FED.DO RJ/CAMPUS RJ - MARACANÃ,RJ
158510,INST.FED.RORAIMA - CAMPUS AMAJARI,RR
158511,INST.FED.DO TOCANTINS/CAMPUS ARAGUAINA,TO
158513,INST.FED. MINAS GERAIS/CAMPUS FORMIGA,MG
158514,INST.FED. MINAS GERAIS/CAMPUS CONGONHAS,MG
158515,UNIVERSIDADE FEDERAL DO OESTE DO PARA,PA
158516,INST.FED.DE EDUC.,SC
158556,INST.FED.DO TOCANTINS/CAMPUS GURUPI,TO
158557,INST.FED.DO TOCANTINS/CAMPUS PORTO NACIONAL,TO
158568,IF SERTÃO PE/CAMPUS SALGUEIRO,PE
158570,IF SERTÃO PE/CAMPUS OURICURI,PE
158585,INST. FED. DA BAHIA/CAMPI PAULO AFONSO,BA
158587,INST. FED. DA BAHIA/CAMPUS ILHEUS,BA
158588,INST. FED. DA BAHIA/CAMPUS JEQUIE,BA
158590,INST. FED. DA BAHIA/CAMPUS FEIRA DE SANTANA,BA
158674,INST.FED.DO RS/CAMPUS FARROUPILHA,RS
158675,INST.FED.DO RS/CAMPUS IBIRUBÁ,RS
158676,INST.FED.DO RS/CAMPUS FELIZ,RS
160002,COMANDO DE FRONTEIRA ACRE/4 BIS,AC
160013,COLEGIO MILITAR DE MANAUS,NO
160020,HOSPITAL MILITAR DE AREA DE MANAUS,NO
160026,COMANDO DE FRONTEIRA - AMAPA E 34 BIS,AP
160039,HOSPITAL GERAL DE SALVADOR,NE
160046,COLEGIO MILITAR DE FORTALEZA,NE
160050,HOSPITAL GERAL DE FORTALEZA,NE
160060,BATALHAO DE POLICIA DO EXERCITO DE BRASILIA,CO
160064,COLEGIO  MILITAR DE BRASILIA,CO
160077,COLEGIO MILITAR DE CURITIBA,SL
160082,PREFEITURA MILITAR DE BRASILIA,CO
160084,COLEGIO MILITAR DE RECIFE,NE
160088,HOSPITAL MILITAR DE AREA DE BRASILIA,DF
160094,COMISSAO DO EXERCITO BRASILEIRO EM WASHINGTON,EX
160191,CENTRO PREPARACAO OFICIAIS RESERVA/RECIFE,PA
160199,HOSPITAL MILITAR DE AREA DE RECIFE,NE
160217,5 GRUPO DE ARTILHARIA DE CAMPANHA/AP,AP
160223,HOSPITAL GERAL DE CURITIBA,SL
160254,1 BATALHAO DE INFANTARIA MOTORIZADO (ES),ES
160267,2 BATALHAO DE INFANTARIA MOTORIZADO (ES),ES
160274,25 BATALHAO LOGISTICO (ES),ES
160277,31 GRUPO DE ARTILHARIA DE CAMPANHA (ES),ES
160279,57 BATALHAO DE INFANTARIA MOTORIZADO (ES),ES
160290,CENTRO DE PREPARACAO OFICIAIS RESERVA/RJ,PA
160292,COLEGIO MILITAR DO RIO DE JANEIRO,RJ
160296,COMANDO BRIGADA INFANTARIA PARAQUEDISTA,PA
160323,HOSPITAL GERAL DO RIO DE JANEIRO,RJ
160334,POLICLINICA MILITAR DO RIO DE JANEIRO,RJ
160346,COMANDO DE FRONTEIRA RONDONIA/6 BIS,RO
160351,HOSPITAL DE GUARNICAO DE PORTO VELHO,NO
160352,COMANDO DE FRONTEIRA DE RORAIMA/7 BIS,RR
160371,29 GRUPO DE ARTILHARIA DE CAMPANHA AP,AP
160391,CENTRO DE PREPARACAO OFICIAIS RESERVA/PA,PA
160393,COLEGIO MILITAR DE PORTO ALEGRE,SL
160399,HOSPITAL MILITAR DE AREA DE PORTO ALEGRE,SL
160400,POLICLINICA MILITAR DE PORTO ALEGRE,SL
160409,3 GRUPO DE ARTILHARIA DE CAMPANHA/AP,AP
160432,16 GRUPO DE ARTILHARIA DE CAMPANHA AP,AP
160445,HOSPITAL DE GUARNICAO DE FLORIANOPOLIS,SL
160468,ESCOLA PREPARATORIA DE CADETES DO EXERCITO,PA
160487,CENTRO DE PREPARACAO OFICIAIS RESERVAS/SP,PA
160495,HOSPITAL MILITAR DE AREA DE SAO PAULO,SP
160529,ARSENAL DE GUERRA DE SAO PAULO,SP
167002,COMANDO DE FRONTEIRA ACRE/4 BIS,AC
167013,COLEGIO MILITAR DE MANAUS,NO
167020,HOSPITAL MILITAR DE AREA DE MANAUS,NO
167026,COMANDO DE FRONTEIRA - AMAPA E 34 BIS,AP
167039,HOSPITAL GERAL DE SALVADOR,NE
167046,COLEGIO MILITAR DE FORTALEZA,NE
167050,HOSPITAL GERAL DE FORTALEZA,NE
167060,BATALHAO DE POLICIA DO EXERCITO DE BRASILIA,CO
167064,COLEGIO  MILITAR DE BRASILIA,CO
167077,COLEGIO MILITAR DE CURITIBA,SL
167082,PREFEITURA MILITAR DE BRASILIA,CO
167084,COLEGIO MILITAR DE RECIFE,NE
167088,HOSPITAL MILITAR DE AREA DE BRASILIA,CO
167191,CENTRO PREPARACAO OFICIAIS RESERVA/RECIFE,PA
167199,HOSPITAL MILITAR DE AREA DE RECIFE,NE
167217,5 GRUPO DE ARTILHARIA DE CAMPANHA/AP,AP
167223,HOSPITAL GERAL DE CURITIBA,SL
167267,2 BATALHAO DE INFANTARIA MOTORIZADO (ES),ES
167274,25 BATALHAO LOGISTICO (ES),ES
167277,31 GRUPO DE ARTILHARIA DE CAMPANHA (ES),ES
167279,57 BATALHAO DE INFANTARIA MOTORIZADO (ES),ES
167290,CENTRO DE PREPARACAO OFICIAIS RESERVA/RJ,PA
167292,COLEGIO MILITAR DO RIO DE JANEIRO,RJ
167296,COMANDO BRIGADA INFANTARIA PARAQUEDISTA,PA
167323,HOSPITAL GERAL DO RIO DE JANEIRO,RJ
167346,COMANDO DE FRONTEIRA RONDONIA/6 BIS,RO
167351,HOSPITAL DE GUARNICAO DE PORTO VELHO,NO
167352,COMANDO DE FRONT.-RR E 7.BAT.DE INF.DE SELVA,RR
167391,CENTRO DE PREPARACAO OFICIAIS RESERVA/PA,PA
167393,COLEGIO MILITAR DE PORTO ALEGRE,SL
167400,POLICLINICA MILITAR DE PORTO ALEGRE,SL
167409,3 GRUPO DE ARTILHARIA DE CAMPANHA/AP,AP
167445,HOSPITAL DE GUARNICAO DE FLORIANOPOLIS,SL
167468,ESCOLA PREPARATORIA DE CADETES DO EXERCITO,PA
167487,CENTRO DE PREPARACAO OFICIAIS RESERVAS/SP,PA
167495,HOSPITAL MILITAR DE AREA DE SAO PAULO,SP
167529,ARSENAL DE GUERRA DE SAO PAULO,SP
170019,DELEGACIA DA RFB EM BRASILIA,CO
170024,DELEGACIA DA RFB EM MACAPA,NO
170025,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/MA,MA
170032,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/PI,PI
170038,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/CE,CE
170039,CENTRO REGIONAL DE TREINAMENTO DA ESAF/CE,CE
170041,DELEGACIA DA RFB EM FORTALEZA,NE
170045,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/RN,RN
170050,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/PB,PB
170055,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/PE,PE
170059,DELEGACIA DA RFB EM RECIFE,NE
170061,INSPETORIA DA RFB EM RECIFE,NE
170064,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/AL,AL
170069,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/SE,SE
170075,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/BA,BA
170077,CENTRO REGIONAL DE TREINAMENTO DA ESAF/BA,BA
170079,DELEGACIA DA RFB EM SALVADOR,NE
170085,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/MG,MG
170087,CENTRO REGIONAL DE TREINAMENTO DA ESAF/MG,MG
170100,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/ES,ES
170106,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/MS,MS
170108,ALFANDEGA DA RFB PORTO DE FORTALEZA,NE
170114,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/RJ,RJ
170115,CENTRO REGIONAL DE TREINAMENTO DA ESAF/RJ,RJ
170118,ALFANDEGA DA RFB PORTO DO RIO DE JANEIRO,RJ
170131,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/SP,SP
170153,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/PR,PR
170155,CENTRO REGIONAL DE TREINAMENTO DA ESAF/PR,PR
170158,DELEGACIA DA RFB EM CURITIBA,SL
170163,ALFANDEGA DA RFB PORTO DE PARANAGUA,PA
170166,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/SC,SC
170169,DELEGACIA DA RFB EM FLORIANOPOLIS,SL
170175,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/RS,RS
170181,DELEGACIA DA RFB EM PORTO ALEGRE,SL
170190,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/MT,MT
170195,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/GO,GO
170198,DELEGACIA DA RFB EM GOIANIA,CO
170201,DELEGACIA DA RFB EM PORTO VELHO,NO
170205,DELEGACIA DA RFB EM RIO BRANCO,NO
170207,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/AM,AM
170209,DELEGACIA DA RFB EM MANAUS,NO
170213,DELEGACIA DA RFB EM BOA VISTA,NO
170214,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/PA,PA
170216,CENTRO REGIONAL DE TREINAMENTO DA ESAF/PA,PA
170225,ALFANDEGA DO PORTO DE SÃO LUIS/MA,MA
170226,ALFANDEGA DA RFB PORTO DE SALVADOR,NE
170257,DELEGACIA DA RFB NO RJ I,RJ
170258,INSPETORIA DA RFB NO RIO DE JANEIRO,RJ
170269,INSPETORIA DA RFB EM PORTO ALEGRE,SL
170271,DELEGACIA DA RFB EM PALMAS,NO
170289,DELEGACIA DA RFB JULGAMENTO EM BRASILIA,CO
170293,DELEGACIA DA RFB JULGAMENTO EM FORTALEZA,NE
170294,DELEGACIA DA RFB JULGAMENTO EM RECIFE,NE
170295,DELEGACIA DA RFB JULGAMENTO EM SALVADOR,NE
170298,DELEGACIA DA RFB JULGAMENTO RIO DE JANEIRO-I,RJ
170299,DELEGACIA DA RFB JULGAMENTO EM SAO PAULO-I,SP
170302,DELEGACIA DA RFB JULGAMENTO EM CURITIBA,SL
170312,DELEGACIA ESPEC.RFB DE ADMIN. TRIBUTÁRIA/SP,SP
170313,DELEGACIA DA RFB ESP.INST.FINANCEIRAS EM SP,SP
170316,DELEGACIA ESPECIAL MAIORES CONTRIBUINTES RJ,RJ
170320,DELEGACIA ESPECIAL MAIORES CONTRIBUINTES SP,SP
170332,DELEGACIA DA RFB EM JI-PARANA,PA
170342,INSPETORIA DA RFB EM FLORIANOPOLIS,SL
170343,INSPETORIA DA RFB EM CURITIBA,SL
170344,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/AC,AC
170345,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/AP,AP
170346,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/RO,RO
170347,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/RR,RR
170382,ALFANDEGA DA RFB AEROP.INTERNAC.DE SALVADOR,NE
170383,DELEGACIA DA RFB NO RIO DE JANEIRO II,RJ
170393,FCDF SSP   POLICIA MILITAR DO DF,DF
170394,FCDF SSP CORPO BOMBEIRO MILITAR DO DF,DF
170395,FCDF SSP   POLICIA CIVIL DO DF,DF
170498,UCP/SE/MF - PNAFM 2ª FASE,SE
170516,DELEGACIA DA RFB EM ANAPOLIS,CO
170531,SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/DF,DF
170533,ALFANDEGA DA RFB EM SAO PAULO,SP
170940,COORD-GERAL DE PLANEJ. E ORCAMENTO/DGI/SE/CGU,SE
173039,SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ,RJ
183039,SUPERINTENDENCIA DO INMETRO NO ESTADO DO RS,RS
190004,FUNAI-COORDENAÇÃO REGIONAL DE JI-PARANA/RO,PA
193001,DNOCS CEST/PI-TERESINA-PI,PI
193003,DNOCS CEST/CE - FORTALEZA-CE,CE
193004,DNOCS - CEST/RN - NATAL-RN,RN
193005,DNOCS - CEST/PB - JOAO PESSOA - PB,PB
193007,DNOCS - CEST/AL-PALMEIRA DOS INDIOS,AL
193008,DNOCS - CEST/SE ARACAJU - SE,SE
193009,DNOCS - CEST/BA - SALVADOR - BA,BA
193010,DNOCS - CEST/MG - MONTES CLAROS-MG,MG
193028,SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS/AM,AM
193100,IBAMA - SUPERINTENDENCIA DO AMAZONAS/AM,AM
193101,IBAMA - SUPERINTENDENCIA DE ALAGOAS/AL,AL
193102,IBAMA - SUPERINTENDENCIA DO AMAPA/AP,AP
193103,IBAMA - SUPERINTENDENCIA DA BAHIA/BA,BA
193104,IBAMA - SUPERINTENDENCIA DO CEARA/CE,CE
193105,IBAMA - SUPERINTENDENCIA DO ACRE/AC,AC
193106,IBAMA - SUPERINTENDENCIA DISTRITO FEDERAL/DF,DF
193107,IBAMA - SUPERINTENDENCIA DO ESPIRITO SANTO/ES,ES
193108,IBAMA - SUPERINTENDENCIA DE GOIAS/GO,GO
193110,IBAMA - SUPERINTENDENCIA DO MARANHAO/MA,MA
193111,IBAMA - SUPERINTENDENCIA DE MINAS GERAIS/MG,MG
193112,IBAMA - SUPERINTENDENCIA MATO GROSSO SUL/MS,MT
193113,IBAMA - SUPERINTENDENCIA DO MATO GROSSO/MT,MT
193114,IBAMA - SUPERINTENDENCIA DO PARA/PA,PA
193115,IBAMA - SUPERINTENDENCIA DA PARAIBA/PB,PA
193116,IBAMA - SUPERINTENDENCIA DE PERNAMBUCO/PE,PE
193117,IBAMA - SUPERINTENDENCIA DO PIAUI/PI,PI
193119,IBAMA - SUPERINTENDENCIA DO RIO DE JANEIRO/RJ,RJ
193120,IBAMA - SUPERINTENDENCIA RIO GRANDE NORTE/RN,RN
193121,IBAMA - SUPERINTENDENCIA DE RONDONIA/RO,RO
193122,IBAMA - SUPERINTENDENCIA DE RORAIMA/RR,RR
193124,IBAMA - SUPERINTENDENCIA DO RIO GRANDE SUL/RS,RS
193125,IBAMA - SUPERINTENDENCIA DE SANTA CATARINA/SC,SC
193126,IBAMA - SUPERINTENDENCIA DE SERGIPE/SE,SE
193129,IBAMA - SUPERINTENDENCIA DE SAO PAULO/SP,SP
193183,IBAMA - SUPERINTENDENCIA DO TOCANTINS/TO,TO
193356,IBAMA - GERENCIA EXECUTIVA - SANTAREM/PA,PA
194003,COORDENAÇÃO REGIONAL DE CACOAL/RO,RO
194004,COORDENAÇÃO REG. DE GUAJARA MIRIM/RO,RO
194006,COORDENAÇÃO REGIONAL DE MANAUS/AM,AM
194007,COORDENAÇÃO REG. DO VALE DO JAVARI/AM,AM
194008,COORDENAÇÃO REGIONAL DO RIO NEGRO/AM,AM
194009,COORDENAÇÃO REGIONAL RORAIMA/RR,RR
194010,COORD. REG. CENTRO-LESTE DO PARA/PA,PA
194011,COORDENAÇÃO REGIONAL BAIXO TOCANTINS/PA,TO
194012,COORDENAÇÃO REGIONAL TAPAJÓS/PA,PA
