UG_COD,UG_COD_DESC,UF,REGIÃO
80003,080003 - TRIBUNAL REGIONAL DO TRABALHO DA 8A.REGIAO,,
80004,080004 - TRIBUNAL REGIONAL DO TRABALHO DA 7A.REGIAO,,
80005,080005 - TRIBUNAL REGIONAL DO TRABALHO DA 13A.REGIAO,,
80006,080006 - TRIBUNAL REGIONAL DO TRABALHO DA 6A.REGIAO,,
80007,080007 - TRIBUNAL REGIONAL DO TRABALHO DA 5A.REGIAO,,
80008,080008 - TRIBUNAL REGIONAL DO TRABALHO DA 3A.REGIAO,,
80009,080009 - TRIBUNAL REGIONAL DO TRABALHO DA 1A.REGIAO,,
80010,080010 - TRIBUNAL REGIONAL DO TRABALHO DA 2A.REGIAO,,
80011,080011 - TRIBUNAL REGIONAL DO TRABALHO DA 15A.REGIAO,,
80012,080012 - TRIBUNAL REGIONAL DO TRABALHO DA 9A.REGIAO,,
80013,080013 - TRIBUNAL REGIONAL DO TRABALHO DA 12A.REGIAO,,
80014,080014 - TRIBUNAL REGIONAL DO TRABALHO DA 4A.REGIAO,,
80015,080015 - TRIBUNAL REGIONAL DO TRABALHO DA 14A.REGIAO,,
80016,080016 - TRIBUNAL REGIONAL DO TRABALHO DA 10A.REGIAO,,
80017,080017 - SETORIAL ORC. FIN. DA JUSTICA DO TRABALHO,,
80018,080018 - TRIBUNAL REGIONAL DO TRABALHO DA 16A.REGIAO,,
80019,080019 - TRIBUNAL REGIONAL DO TRABALHO DA 17A.REGIAO,,
80020,080020 - TRIBUNAL REGIONAL DO TRABALHO DA 18A.REGIAO,,
80021,080021 - TRIBUNAL REGIONAL DO TRABALHO DA 21A.REGIAO,,
80022,080022 - TRIBUNAL REGIONAL DO TRABALHO DA 19A.REGIAO,,
80023,080023 - TRIBUNAL REGIONAL DO TRABALHO DA 20A.REGIAO,,
80024,080024 - TRIBUNAL REGIONAL DO TRABALHO DA 22A.REGIAO,,
80025,080025 - TRIBUNAL REGIONAL DO TRABALHO DA 23A.REGIAO,,
80026,080026 - TRIBUNAL REGIONAL DO TRABALHO DA 24A.REGIAO,,
90001,090001 - CONSELHO DA JUSTICA FEDERAL,,
90002,090002 - JUSTICA FEDERAL DE PRIMEIRO GRAU - AM,,
90003,090003 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PA,,
90004,090004 - JUSTICA FEDERAL DE PRIMEIRO GRAU - MA,,
90005,090005 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PI,,
90006,090006 - JUSTICA FEDERAL DE PRIMEIRO GRAU - CE,,
90007,090007 - JUSTICA FEDERAL DE PRIMEIRO GRAU - RN,,
90008,090008 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PB,,
90009,090009 - JUSTICA FEDERAL DE PRIMEIRO GRAU - PE,,
90010,090010 - JUSTICA FEDERAL DE PRIMEIRO GRAU - AL,,
90011,090011 - JUSTICA FEDERAL DE PRIMEIRO GRAU - SE,,
90012,090012 - JUSTICA FEDERAL DE PRIMEIRO GRAU - BA,,
90013,090013 - JUSTICA FEDERAL DE PRIMEIRO GRAU - MG,,
90014,090014 - JUSTICA FEDERAL DE PRIMEIRO GRAU - ES,,
90015,090015 - JUSTICA FEDERAL DE PRIMEIRO GRAU - MS,,
